date,Belegte Betten,Freie Betten,Notfallreserve,COVID-19-Fälle,IdBundesland
2020-12-01T12:15:00+01:00,638,206,408,85,16
2020-11-30T12:15:00+01:00,631,208,409,82,16
2020-11-29T12:15:00+01:00,621,217,412,78,16
2020-11-28T12:15:00+01:00,644,195,426,77,16
2020-11-27T12:15:00+01:00,656,189,423,73,16
2020-11-26T12:15:00+01:00,639,205,422,74,16
2020-11-25T12:15:00+01:00,647,199,423,75,16
2020-11-24T12:15:00+01:00,633,215,423,72,16
2020-11-23T12:15:00+01:00,598,251,432,73,16
2020-11-22T12:15:00+01:00,626,291,459,96,16
2020-11-21T12:15:00+01:00,654,267,460,91,16
2020-11-20T12:15:00+01:00,669,255,462,86,16
2020-11-19T12:15:00+01:00,667,265,454,87,16
2020-11-18T12:15:00+01:00,668,269,458,88,16
2020-11-17T12:15:00+01:00,654,281,460,84,16
2020-11-16T12:15:00+01:00,626,317,452,74,16
2020-11-15T12:15:00+01:00,623,322,460,69,16
2020-11-14T12:15:00+01:00,635,314,460,69,16
2020-11-13T12:15:00+01:00,644,300,457,69,16
2020-11-12T12:15:00+01:00,649,311,461,55,16
2020-11-11T12:15:00+01:00,635,287,461,53,16
2020-11-10T12:15:00+01:00,624,296,461,54,16
2020-11-09T12:15:00+01:00,600,321,461,60,16
2020-11-08T12:15:00+01:00,599,321,460,58,16
2020-11-07T12:15:00+01:00,627,301,461,54,16
2020-11-06T12:15:00+01:00,646,281,460,52,16
2020-11-05T12:15:00+01:00,658,267,454,48,16
2020-11-04T12:15:00+01:00,639,295,455,44,16
2020-11-03T12:15:00+01:00,608,327,451,33,16
2020-11-02T12:15:00+01:00,596,337,454,29,16
2020-11-01T12:15:00+01:00,595,340,457,24,16
2020-10-31T12:15:00+01:00,585,350,457,24,16
2020-10-30T12:15:00+01:00,623,316,461,29,16
2020-10-29T12:15:00+01:00,625,314,459,32,16
2020-10-28T12:15:00+01:00,620,285,422,31,16
2020-10-27T12:15:00+01:00,604,297,422,27,16
2020-10-26T12:15:00+01:00,579,323,418,28,16
2020-10-25T12:15:00+01:00,568,328,420,27,16
2020-10-24T12:15:00+02:00,615,281,420,23,16
2020-10-23T12:15:00+02:00,644,257,417,26,16
2020-10-22T12:15:00+02:00,627,274,427,22,16
2020-10-21T12:15:00+02:00,644,254,431,19,16
2020-10-20T12:15:00+02:00,654,243,428,17,16
2020-10-19T12:15:00+02:00,601,291,418,19,16
2020-10-18T12:15:00+02:00,615,291,429,16,16
2020-10-17T12:15:00+02:00,638,268,429,16,16
2020-10-16T12:15:00+02:00,625,283,429,14,16
