date,Belegte Betten,Freie Betten,Notfallreserve,COVID-19-Fälle,IdBundesland
2020-12-01T12:15:00+01:00,606,250,429,28,1
2020-11-30T12:15:00+01:00,587,269,432,26,1
2020-11-29T12:15:00+01:00,565,282,432,24,1
2020-11-28T12:15:00+01:00,596,251,432,24,1
2020-11-27T12:15:00+01:00,619,233,432,22,1
2020-11-26T12:15:00+01:00,590,266,433,19,1
2020-11-25T12:15:00+01:00,588,268,433,21,1
2020-11-24T12:15:00+01:00,583,273,433,21,1
2020-11-23T12:15:00+01:00,591,263,449,23,1
2020-11-22T12:15:00+01:00,552,297,449,22,1
2020-11-21T12:15:00+01:00,578,271,449,23,1
2020-11-20T12:15:00+01:00,598,254,438,25,1
2020-11-19T12:15:00+01:00,580,277,438,27,1
2020-11-18T12:15:00+01:00,577,281,437,22,1
2020-11-17T12:15:00+01:00,578,274,437,24,1
2020-11-16T12:15:00+01:00,563,282,439,28,1
2020-11-15T12:15:00+01:00,561,292,439,27,1
2020-11-14T12:15:00+01:00,582,271,439,24,1
2020-11-13T12:15:00+01:00,596,256,438,23,1
2020-11-12T12:15:00+01:00,589,276,436,21,1
2020-11-11T12:15:00+01:00,597,259,436,23,1
2020-11-10T12:15:00+01:00,586,285,431,23,1
2020-11-09T12:15:00+01:00,545,338,433,27,1
2020-11-08T12:15:00+01:00,530,345,437,27,1
2020-11-07T12:15:00+01:00,564,316,432,27,1
2020-11-06T12:15:00+01:00,582,297,430,27,1
2020-11-05T12:15:00+01:00,606,274,430,27,1
2020-11-04T12:15:00+01:00,592,291,430,26,1
2020-11-03T12:15:00+01:00,585,298,430,23,1
2020-11-02T12:15:00+01:00,568,315,446,21,1
2020-11-01T12:15:00+01:00,556,443,323,20,1
2020-10-31T12:15:00+01:00,568,440,317,21,1
2020-10-30T12:15:00+01:00,559,449,313,17,1
2020-10-29T12:15:00+01:00,602,424,311,20,1
2020-10-28T12:15:00+01:00,607,416,302,17,1
2020-10-27T12:15:00+01:00,611,412,302,13,1
2020-10-26T12:15:00+01:00,591,432,304,11,1
2020-10-25T12:15:00+01:00,570,447,306,11,1
2020-10-24T12:15:00+02:00,589,428,305,10,1
2020-10-23T12:15:00+02:00,610,412,305,9,1
2020-10-22T12:15:00+02:00,611,415,307,9,1
2020-10-21T12:15:00+02:00,615,415,308,6,1
2020-10-20T12:15:00+02:00,605,431,298,5,1
2020-10-19T12:15:00+02:00,593,443,298,7,1
